id,name,latitude,longitude,demand
c01,Pizzeria Maria,37.3881734,-5.9218547,2
c02,Cafetería Rui,37.387228,-5.9217397,1
c03,Unnamed,37.3875844,-5.9199692,2
c04,Unnamed,37.3886379,-5.9210132,5
c05,Unnamed,37.3881693,-5.9206068,3
c06,Cafetería Metrópolis,37.3630589,-5.9858491,5
c07,100 Montaditos,37.3828961,-5.9723331,5
c08,Jaque Mate Tapas,37.382913,-5.9724153,5
c09,Bar San Lorenzo,37.3968705,-5.9967756,4
c10,Cafe Bar El Sardinero,37.3969679,-5.9963185,2
c11,Almeda 5,37.3967979,-5.9945413,4
c12,El 3 de Oro,37.385935,-5.9869065,5
c13,Restaurante Santa Cruz,37.3849733,-5.989891,1
c14,100 Montaditos,37.3913797,-6.0021745,2
c15,Pizztaglio,37.3927949,-5.9973396,3
c16,Mesón Serranito,37.392772,-5.9970991,5
c17,Taberna La Encarnación,37.392526,-5.9913642,5
c18,Mamá Carmen,37.3924124,-5.9905128,5
c19,Taberna El Papelón,37.3843339,-5.9939526,4
c20,Taberna del Alabardero,37.3885745,-5.9981207,4
c21,Casa Aníbal,37.3876976,-6.001594,3
c22,Santa Marta,37.3938755,-5.9937642,1
c23,Bar Zurbarán,37.393757,-5.992737,5
c24,Alcázares,37.3937192,-5.9912688,4
c25,Sloppy Joe's,37.4010654,-5.9268274,4
c26,Yebra,37.4013991,-5.9823247,5
c27,Kaede,37.4030634,-5.9873915,3
c28,La Cigala de Oro,37.3938146,-5.9815256,3
c29,Carlos Alberto,37.3917542,-5.9786712,5
c30,kindo,37.3926213,-5.9804742,4
c31,Pando Centro,37.3912714,-5.9978167,4
c32,Casa Fermín,37.4041452,-5.9895241,4
c33,Casa Manolo Triana,37.3856056,-6.0041413,3
c34,Pomodoro,37.4050602,-5.9359015,1
c35,Los Coloniales,37.3915663,-5.9894907,2
c36,La Mafia,37.3935205,-5.9953776,3
c37,La Mia Tana,37.3907956,-5.9911461,5
c38,Espacio T,37.390868,-5.9908457,2
c39,Unnamed,37.3907444,-5.9909208,2
c40,Unnamed,37.3906421,-5.9908189,1
c41,Taberna Alambique,37.3905646,-5.9908611,2
c42,Alcaiza,37.3900022,-5.9916595,5
c43,Orsini,37.3896632,-5.9910151,1
c44,Universal People,37.3895312,-5.9930039,5
c45,La Alicantina,37.3902183,-5.9929505,2
c46,El Rinconcillo,37.3933406,-5.9882942,4
c47,Casa Catalina,37.3931108,-5.9863994,2
c48,Taberna Los Terceros,37.3936505,-5.9879797,3
c49,Becerrita,37.3904326,-5.984255,1
c50,Unnamed,37.3924497,-5.979126,2
